,Y
0,17158.01
1,17798.0
2,17490.0
3,17658.11
4,17398.0
5,17568.25
6,17337.38
7,17659.98
8,17437.96
9,17606.06
10,17352.77
11,17789.99
12,17358.97
13,17705.56
14,17410.0
15,17754.55
16,17632.0
17,17695.11
18,17788.1
19,17732.71
20,17836.42
21,17738.67
22,17143.0
23,17854.69
24,17749.71
25,18599.99
26,17687.91
27,18798.99
28,17651.16
29,18991.0
30,17726.09
31,18969.99
32,17824.99
33,18908.69
34,17978.0
35,18945.08
36,18157.51
37,19422.46
38,18124.87
39,19433.21
40,18179.01
41,19450.0
42,18143.03
43,19597.0
44,18320.1
45,19650.0
46,17800.01
47,18349.01
48,19286.25
49,19820.0
50,19398.99
51,19684.96
52,19358.26
53,19632.49
54,19369.42
55,19405.01
56,19535.95
57,19536.0
58,19500.0
59,19251.01
60,19735.0
61,19299.99
62,19624.31
63,19421.56
64,19740.0
65,19440.98
66,19750.0
67,19690.0
68,19847.11
69,19378.99
70,19377.62
71,19770.01
72,18800.0
73,18900.28
74,18545.56
75,18790.0
76,18799.96
77,18870.0
78,18978.0
79,18670.11
80,19141.48
81,18641.21
82,19144.0
83,18550.0
84,18821.34
85,18849.99
86,19112.5
87,18779.98
88,18980.01
89,18829.34
90,19019.99
91,18849.98
92,19231.9
93,19039.0
94,18224.19
95,19071.0
96,18868.35
97,18225.0
98,18851.9
99,18015.37
100,19039.99
101,18147.99
102,18975.0
103,18429.01
104,18914.37
105,18360.01
106,18780.02
107,18320.0
108,18841.01
109,18024.0
110,18899.92
111,17789.2
112,18658.98
113,17200.01
114,18300.0
115,17450.1
116,17856.0
117,17838.73
118,18873.0
119,18178.98
120,16532.0
121,17170.0
122,17473.0
123,17233.55
124,16980.01
125,16487.26
126,17094.93
127,16401.59
128,16661.34
129,16928.98
130,16456.33
131,16929.98
132,16551.59
133,16857.45
134,17098.0
135,16743.61
136,17051.21
137,16370.12
138,17388.72
139,16396.01
140,17435.8
141,16496.9
142,16910.0
143,17889.97
144,16550.0
145,16353.72
146,16447.51
147,16149.63
148,16950.49
149,15699.99
150,16949.99
151,15768.0
152,16870.01
153,15445.0
154,17222.88
155,15509.74
156,17215.02
157,15457.93
158,16950.04
159,15381.85
160,16960.91
161,15758.31
162,16732.37
163,15760.53
164,16753.64
165,15758.8
166,16719.33
167,16797.9
168,14829.05
169,12094.0
170,14168.85
171,12118.88
172,14250.0
173,13300.0
174,14960.48
175,12972.04
176,14307.86
177,13130.13
178,13700.0
179,13489.0
180,13660.91
181,13410.0
182,13550.01
183,14790.0
184,14026.48
185,14475.04
186,14250.01
187,15452.97
188,14039.65
189,14210.57
190,15309.02
191,13795.34
192,14350.01
193,15400.0
194,14550.0
195,15997.79
196,14976.01
197,15501.0
198,14799.99
199,15771.85
200,14318.74
201,15590.44
202,14277.5
203,15574.48
204,14503.02
205,15611.15
206,14625.83
207,15765.51
208,14863.52
209,15830.71
210,15080.98
211,15400.0
212,15456.45
213,15065.51
214,14470.99
215,15325.0
216,14515.65
217,14134.15
218,13844.9
219,14414.98
220,14567.47
221,13924.92
222,14330.01
223,13993.43
224,14525.0
225,13755.02
226,14818.76
227,13629.1
228,14508.72
229,13516.38
230,14694.84
231,13883.63
232,14300.0
233,13718.01
234,14010.15
235,14085.01
236,13804.27
237,14221.94
238,14955.63
239,13685.9
240,14084.01
241,14033.1
242,13827.06
243,13939.32
244,13790.97
245,14177.19
246,14169.0
247,14268.75
248,14119.22
249,14199.99
250,14025.0
251,14300.01
252,14232.0
253,14276.44
254,14455.4
255,14071.01
256,14200.01
257,14089.99
258,14292.33
259,14101.04
260,14421.55
261,14171.98
262,14168.9
263,14679.99
264,14204.01
265,15369.27
266,14269.0
267,15850.0
268,14888.38
269,15820.0
270,15194.99
271,16115.0
272,15366.36
273,15709.98
274,15574.98
275,15710.0
276,15444.01
277,15899.0
278,15084.99
279,15875.0
280,15399.07
281,15920.0
282,15305.0
283,15780.0
284,15170.5
285,15790.88
286,14248.0
287,15346.14
288,15935.01
289,15846.22
290,15854.3
291,15280.22
292,15879.0
293,15334.98
294,16383.87
295,14790.83
296,16439.99
297,14918.32
298,16400.0
299,15030.0
300,16250.0
301,14840.0
302,16100.55
303,14764.67
304,15890.0
305,15196.21
306,15675.0
307,15274.99
308,15744.89
309,15367.08
310,15794.01
311,15970.99
312,15442.26
313,14278.96
314,14450.01
315,14350.01
316,14441.69
317,14287.12
318,14475.5
319,14066.0
320,13880.0
321,14123.55
322,14010.01
323,13585.93
324,14230.04
325,13927.05
326,14294.43
327,13926.37
328,14334.68
329,13947.96
330,13814.02
331,14098.65
332,14078.01
333,14450.01
334,15213.3
335,14329.57
336,14377.23
337,14315.66
338,14975.02
339,14515.8
340,14870.0
341,14540.0
342,14804.76
343,14714.53
344,14920.0
345,14622.14
346,14901.01
347,14550.01
348,14598.01
349,14649.81
350,14550.01
351,14440.01
352,14200.01
353,14389.99
354,14041.82
355,14674.01
356,14359.02
357,14565.05
358,14350.01
359,14236.13
360,14119.76
361,13262.73
362,13970.01
363,13320.23
364,13942.2
365,13067.0
366,13659.64
367,12575.0
368,14007.99
369,13283.99
370,13950.02
371,13083.99
372,14069.81
373,13465.01
374,13929.5
375,13240.0
376,13912.0
377,13213.99
378,13768.01
379,13168.22
380,13888.57
381,12839.99
382,14495.0
383,13500.0
384,13178.07
385,13131.01
386,13309.62
387,13376.0
388,13169.48
389,13380.13
390,13060.0
391,14009.99
392,12917.62
393,13979.99
394,12841.29
395,13874.5
396,13138.95
397,13957.32
398,12849.69
399,14168.54
400,12701.0
401,14067.0
402,13020.07
403,13947.0
404,13140.28
405,13863.13
406,13152.63
407,13143.69
408,13345.7
409,13115.95
410,13438.0
411,13271.98
412,13474.0
413,13255.29
414,13620.0
415,13093.1
416,13508.01
417,13138.11
418,13797.99
419,13189.98
420,13601.27
421,13345.47
422,13474.97
423,13469.01
424,13596.95
425,13565.0
426,13576.48
427,13538.11
428,13279.99
429,13480.01
430,13586.93
431,13234.45
432,13632.94
433,13969.57
434,13550.01
435,13859.0
436,13372.95
437,13741.01
438,13164.83
439,13690.0
440,13194.02
441,13895.0
442,13368.0
443,14577.0
444,13423.34
445,14790.01
446,13478.24
447,14830.0
448,13600.1
449,14761.01
450,13740.01
451,14862.03
452,13645.41
453,14781.51
454,13830.32
455,13632.0
456,14888.9
457,14971.91
458,15040.04
459,14925.03
460,14900.04
461,15085.0
462,15090.01
463,15119.92
464,15098.88
465,14954.99
466,15356.0
467,14787.89
468,15308.0
469,14790.0
470,15162.0
471,14980.12
472,14880.01
473,15067.99
474,14750.01
475,14865.01
476,14903.13
477,15098.14
478,14885.0
479,14650.0
480,15369.73
481,14619.99
482,15290.31
483,14674.01
484,15150.01
485,14620.01
486,14986.76
487,14625.5
488,14971.23
489,14717.01
490,15000.01
491,14815.0
492,14920.0
493,14997.99
494,14417.0
495,14889.99
496,14571.03
497,14940.04
498,14531.01
499,15015.0
500,14603.19
501,15144.99
502,15104.48
503,14480.0
504,15073.0
505,16053.76
506,15120.02
507,16050.0
508,14958.99
509,16048.98
510,14938.79
511,16277.0
512,15038.0
513,16379.67
514,14943.5
515,16381.0
516,14953.99
517,16441.19
518,15369.0
519,16556.25
520,15812.79
521,16727.0
522,15995.56
523,16975.0
524,16000.0
525,16960.01
526,15053.18
527,15861.58
528,16944.0
529,16276.0
530,16553.37
531,16479.88
532,16571.78
533,16598.0
534,16550.02
535,16811.11
536,16594.08
537,16892.0
538,16608.01
539,16785.02
540,16509.99
541,16731.0
542,16404.49
543,16849.5
544,16362.79
545,16841.44
546,16679.99
547,17029.99
548,16501.01
549,17099.0
550,16889.31
551,16300.01
552,16997.17
553,16460.01
554,16833.0
555,16567.0
556,16743.19
557,16502.01
558,16635.31
559,16153.48
560,16610.02
561,15924.01
562,16390.3
563,16111.74
564,16744.0
565,16123.0
566,16754.72
567,16147.98
568,16626.96
